sentence_id,Beijing,Chengdu,Guiyang,Nanchang,Taibei,Taiyuan,Xianggang,Xiangtan,Xining,Hefei,Meixian,Hangzhou,Wuhan,Harbin,Xian,Wulumuqi,Wenzhou,Tianjin,Pingyao,Kunming,Shanghai,Lanzhou,Shantou
50,nɑutai,tʰəu,laokʰo,tʰɛu,tʰau,təʔnau,tʰɐu,naɯkʰo,tʰɯ,tʰɯ,tʰeu,dei,tʰəu,tʰou,tʰou,tʰɤu,dɤu,nɑutai,tʌʔlɔ,nɔkʰo,dɤ,tʰou,tʰau
51,nɑumər,ŋenəu,ŋɛləu,lɑukuɑ,hiaʔtʰau,pəŋləu,ŋaktʰɐu,naɯmən,nə̃mv̩tʰɯ,ʐɐʔlɔtʰɯ,ŋiak,ŋɑʔkoʔdei,ŋɤtʰəu,pərlou,ŋeilou,pɤŋlɤu,ŋadɤu,ieliŋkar,pəŋtəu,nɔmə̃,ŋaʔkoʔdɤ,pə̃nlu,hiaʔ
52,lian,nian,lian,liɛn,bin,minie,min,niẽkuai,liã,liɪ̃,mien,liɤ̃kʰoŋ,niɛn,lian,liã,lian,mi,lian,liɤ,liɛ̃,mikʰoŋ,liɛ̃npʰɛ̃ntsɹ̩,miŋ
53,pitsɹ̩,pitsɹ̩,pitsɹ̩,pʰiʔkuŋ,pʰĩ,piəʔtsəʔ,peikɔ,pʰidən,pjtsɹ̩,piəʔtsə,pʰikuŋ,bɑʔdei,pitsɹ̩,pitsɹ̩,pitsɹ̩,pitsɹ̩,beidɤu,pitsɹ̩,piʌʔtsʌʔ,pitsɹ̩,biɪʔdɤ,pikəta,pʰĩ
54,pokə̃r,tɕintsɹ̩,tɕiaŋken,tɕiɑŋ,amkun,paʔtsəʔ,kɛŋ,tɕiankən,pɔpã,lɔtɕinpa,kiaŋkin,deitɕin,tɕinkʰuaŋ,pɤtsɹ̩,poxaŋ,pɤtsɹ̩,dɤutɕaŋ,potsɹ̩,pʌʔtsʌʔ,potsɹ̩,dɤtɕiŋ,pətsɹ̩,am
55,tsuoʂou,tsosəu,tsosəu,tsosɨu,totsʰiu,tsuɤsəu,tsɔsɐu,tsoʂəɯ,tsuʂɯ,tsʊʂɯ,tsosu,tɕisei,suosəu,tsuoʂou,tsuoʂou,tsuɤʂɤu,tseiɕɤu,tsuosou,tɕiɤʂəu,tsoʂəu,tsusɤ,tsuəʂou,totsʰiu
56,iouʂou,iəusəu,iəusəu,iusɨu,tsiãtsʰiu,tsəŋsəu,jɐusɐu,iəɯʂəɯ,iɯʂɯ,iɯʂɯ,iusu,zɥensei,iəusəu,iouʂou,iouʂou,iɤuʂɤu,joŋɕɤu,iousou,tʂɻ̩ʂəu,iəuʂəu,ɦiɤsɤ,iouʂou,tsiãtsʰiu
57,tɕʰyantʰou,tintsɹ̩,tintsɹ̩,tɕʰyɵntʰɛu,kuntʰau,kəʔtu,kʰyntʰɐu,doɕin,tʂʰuɨtʰɯ,tɕʰyɪ̃tʰɯ,kʰiantʰeu,dzɥõdei,tsʰuantʰəu,tɕʰyantʰou,pfʰeitʰoutsɹ̩,tʂʰueitʰɤu,dʑydɤu,tɕʰyɑntʰou,kʌʔtu,tʂʰueitʰəu,dʑyødɤ,pfʰeitʰou,kʰuŋtʰau
58,ʂoutʂɻ̩tʰou,səutsɹ̩mər,tsɹ̩tʰəu,tsɨʔtʰɛutsɹ̩,tsŋ̩tʰau,səutsəʔtʰəu,sɐutsitʰɐu,ʂəɯtʂɻ̩naɯ,ʂɯtsɹ̩tʰɯ,mutʂɔtʰɯ,sutsɹ̩,seitsɹ̩dei,səutsɹ̩,ʂoutʂɹ̩tʰou,ʂoutsɹ̩tʰou,ʂɤutsɹ̩tʰɤu,ɕɤutsɹ̩dʑyŋ̩,soutsɹ̩tʰou,tʂʌʔtəuʐʌʔ,ʂəutʂɻ̩tʰəu,sɤtɕiɪʔdɤ,tʂɻ̩tʰoutsɹ̩,tsʰiutsõi
59,tʂɻ̩tɕia,tsɹ̩tɕia,tsɹ̩tɕia,tsɨʔkaʔtsɹ̩,tsŋkaʔ,tsəʔtɕiaʔ,tsikap,tʂɻ̩kɒ,tsɹ̩tɕia,tʂəʔtɕiɐʔkɤ,sutsɹ̩kap,seitsɹ̩kʰɑʔəl,tsɹ̩kakʰuo,ʂoutʂɻ̩kar,tsɹ̩tɕia,tsɹ̩tɕia,tsɹ̩ka,tsɹ̩kaitsə,tsɹ̩tɕiʌʔ,tʂɻ̩tɕiɐ,sɤtɕiɪʔkʰaʔ,tʂɻ̩tɕia,tsõikaʔ
