sentence_id,Beijing,Chengdu,Guiyang,Nanchang,Taibei,Taiyuan,Xianggang,Xiangtan,Xining,Hefei,Meixian,Hangzhou,Wuhan,Harbin,Xian,Wulumuqi,Wenzhou,Kunming,Pingyao,Shanghai,Lanzhou,Shantou,Tianjin
41,pukuannitɕʰyputɕʰyfantʂəŋuoʂɻ̩iɑutçʰytə,pukuanɲitɕʰieputɕʰiexuənsuənŋosɹ̩iautɕʰieni,kuanlitɕʰiputɕʰiəuxuensuenŋotəusɹ̩iaotɕʰilɛ,pɨʔkuɵnn̩tɕʰiepɨʔtɕʰieuɑŋtsʰɨʔŋosɹ̩iɛutɕʰieko,m̩kuanlibeʔkʰiaboaikʰihuetitguasibeʔkʰi,pəʔkuæ̃nitɕʰypəʔtɕʰyfæ̃tsəŋɣɤiautɕʰy,mleineihøymhøyfantsiŋŋɔhɐijiuhøykɛ,pukɔnɲitɕʰieputɕʰieɸəntʂʰɻ̩ŋoʂɻ̩iaɯtɕʰieti,ɲitɕʰjl̩mãpv̩tɕʰjxɔnɔfãtʂə̃tɕʰjlia,kʊ̃litsʰɥpəʔtsʰɥʊkɔtsɹ̩ʂɻ̩iɔtsʰɥtiəʔ,m̩kuonn̩hiiam̩hifantsənŋaitsʰiuvoihi,pəʔkuõnitɕʰipəʔtɕʰiŋoɦɑzɹ̩ʔiɔtɕʰiti,pukuannikʰɯpukʰɯfantsənŋuosɹ̩itiniaukʰɯti,pukuannitɕʰyputɕʰyfantʂəŋuoteitɕʰy,pukuãnitɕʰiputɕʰifãtʂəŋŋɤiautɕʰini,pukuanɲitɕʰiputɕʰifantʂɤŋvɤsɹ̩iɔtɕʰiɲi,fukyɲitsaufutsauhaŋ̩tɜdʑa=dʑa=tsauke,pukuɐ̃nikʰəpukʰəfɐ̃tʂə̃̃otɔʂɻ̩iɔkʰənə,pʌʔkuɑŋn̩tɕʰypʌʔtɕʰyxuɑŋtʂəŋŋiɤsɹ̩iɔtɕʰyliʌʔ,vəʔkuønoŋtɕʰivəʔtɕʰifetsəŋŋozɹ̩iɔtɕʰiɦə,pukuɛ̃nɲitɕʰiputɕʰifɛ̃ntʂə̃nvəiɔtɕʰili,talilɯkʰɯamualitsiãtoãikʰɯ,pukuannitɕʰyputɕʰyfantsəŋuoteitɕʰy
42,uofeitɕʰypukɤ,ŋotɕiəusɹ̩iautɕʰie,ŋofeiiaokʰei,ŋopɨʔtɕʰiepɨʔɕin,guaittiŋbeʔkʰi,ɣɤfeitɕʰypəʔɕiəŋ,ŋɔhɐijiuhøy,ŋoŋənɸəiiaɯtɕʰie,fɔtʂʰə̃kɔsaxɔanɔtɕʰjlia,ʊfeiɔtsʰɥ,ŋaitsʰiuoihi,ŋofitɕʰipəʔkʰo,ŋuofeikʰɯpukʰuo,uofeitɕʰyputʂɻ̩,ŋɤfitɕʰipukʰɤ,vɤfɤitɕʰipuɕiŋ,ŋ̩futsaufuɕaŋa,ofeikʰəpukʰo,ŋiɤxueitɕʰypʌʔɕiɑ,ŋozɹ̩iɪʔdiŋiɔtɕʰiɦəʔ,tsə̃nməxalɔvətouiɔtɕʰili,uaŋẽhõuãikʰɯ,uofeitɕʰy
43,niʂɻ̩neinianlaitə,ɲisɹ̩naiɲiannaini,lisɹ̩lailianlailɛ,n̩sɹ̩lɑɲiɛntsɹ̩laiko,lisitotsitlĩlaie,nisɹ̩nanielaitəʔ,neihɐipinjɐtninlɐika,ɲiʂɻ̩nɒiɲiẽnaiti,ɲisɹ̩ajɲiãlɛtsɹ̩,liʂɻ̩laiəʔliɪ̃lɤtiəʔ,n̩henaiŋianloike,nizɹ̩nɑʔiəʔɲiɤ̃lɤtiʔɑ,ninaniɛnnaiti,niʂɻ̩neiinianlaiti,nisɹ̩ainiãlaiti,ɲisɹ̩naiɲianlaiti,ɲizɹ̩ɲaujiɲileika,niʂɻ̩nɐiniɛ̃lænə,n̩sɹ̩lɑɲiɤlætiʌʔliʌʔ,noŋzɹ̩ɦaliiɪʔɲileɦəʔ,tɕiaɲiʂɻ̩laiɲiɛ̃nlɛtiʂa,lɯkaititseknĩlaikai,nineinianlaiti
44,uoʂɻ̩tɕʰiannianlaitəpeitɕiŋ,ŋosɹ̩tɕʰianɲiantsɹ̩taupetɕinni,ŋosɹ̩tɕʰianlianlaipɛtɕinlɛ,ŋosɹ̩tɕʰiɛnɲiɛntsɹ̩tɑukopɛʔtɕin,guasitsiŋlĩkaupakkiãe,ɣɤsɹ̩tɕʰienietautəʔpeitɕiəŋ,ŋɔhɐitsʰinnintoupɐkkiŋkɛ,ŋoʂɻ̩dziẽkɒɲiẽtaɯpætɕinti,nɔsɹ̩tɕʰiãɲiãtɔxapɨtɕiə̃tsɹ̩,ʊʂɻ̩tɕʰiɪ̃liɪ̃tɔpɐʔtɕintiəʔ,ŋaihetsʰienŋianneloipetkinke,ŋozɹ̩dʑiɤ̃ɲiɤ̃tsɹ̩tɔpoʔtɕinti,ŋuosɹ̩tɕʰiɛnniɛntaupɤtɕinti,uoʂɻ̩tɕʰianniantautipeitɕiŋ,ŋɤsɹ̩tɕʰiãniãtautipeitɕiŋ,vɤsɹ̩tɕʰianɲianlaitipeitɕiŋ,ŋ̩zɹ̩jiɲitɜpaitɕaŋke,oʂɻ̩tɕʰiɛ̃niɛ̃tɔpətɕĩnə,ŋiɤsɹ̩tɕiɤɲiɤtɔtiʌʔpiʌʔtɕiŋ,ŋozɹ̩ʑiɲitɔpoʔtɕiŋɦəʔ,vəʂɻ̩tɕʰiɛ̃nɲiɛ̃nkətɔpətɕĩnti,uasitsõinĩlaipakkiãkai,uosɹ̩tɕʰianniankətɑutipeitɕiŋ
45,tɕiərkʰaixueiʂeitətʂuɕi,tɕʰintʰiankʰaixueinakotaŋtsuɕi,tɕintʰiankʰaixueisɹ̩lakotaŋtsuɕi,tɕinɲiʔkʰaifɨilɑkotɔŋtɕyɕiʔ,kiãlitkʰuihuesiãlaŋtsotsusik,tɕiəŋzəʔkʰaixueisueitəʔtsuɕiəʔ,kɐmmɐthɔiwuipinkɔtsoutsytsik,tɕinitsɹ̩kʰaiɸəinɒkotsəɯtɕysi,tɕiə̃ɛkʰɛxuɨxɔtʂv̩ɕjfɨtɔ̃tʂɛ,tɕiɤkəkʰɤxuexakətsʊtʂuɕiəʔ,kimpuŋitkʰoifimanŋintoŋtsusit,kentsɔkʰɤɦuinɑkoʔtsotsɥtʑiəʔ,tɕintʰiɛnkʰaixueinakuosɹ̩tɕyɕi,tɕintʰiankʰaixueiʂeiʂɻ̩tʂuɕi,tɕiərkʰaixueiseitipfuɕi,tɕiŋtʰiankʰaixueiseititʂuɕi,kenekʰevaiaɲinaŋtuɔtsɹ̩zeia,tɕiəʐɻ̩kʰæxueinɐkətɐ̃tʂuɕi,tɕiŋʐʌʔkʰæxuæsueitiʌʔtsɥɕiʌʔ,tɕiuŋtsɔkʰeɦuesaɲiŋtsutsɹ̩ʑiɪʔ,tɕĩnkətʰiɛ̃nkʰɛxueifeiʂɻ̩pfuɕiʂa,kimzikkʰuihuetitiaŋtsotsutsʰioʔ,tɕiərkəkʰaixueiseisɹ̩tsuɕi
46,niteitɕʰiŋuotəkʰɤ,tɕʰinkʰe,liiaotɕʰinŋolɛkʰɛəu,n̩iɛutɕʰiɑŋŋokokɑʔ,litoaitsʰiãgua,nitiəʔtɕʰiəŋɣɤtəʔkʰaʔ,neijiutsʰɛŋŋɔsikfanpɔ,ɲiiaɯtsʰinŋotsəɯkʰæpai,ɲitipanɔtɕʰiɔkɨjkua,liiɔtɕʰinʊkʰɐʔ,n̩oitsʰiaŋŋai,niʔiɔtɕʰinŋotiəʔkʰɑʔ,nikaitɕʰinŋuotikʰɤ,niteitɕʰiŋuokʰɤr,niteitɕʰiŋŋɤtikʰei,ɲiteitɕʰiŋvɤtikʰei,ɲidʑatsʰeŋŋ̩kʰa,niiɔtɕʰĩonəkʰələ,n̩tiʌʔtɕʰiŋtɕʰiŋŋiɤ,noŋiɔtɕʰiŋŋotɕʰiɪʔvegəʔ,tɕiaɲiiɔpavətɕʰĩnixali,lɯtioʔtsʰiãua,niteitɕʰiŋuoituər
47,ipiartsouipiarliɑu,ipiantsəuipianpai,lianlutsəulianlutɕiaŋ,iʔpiɛntsɛuiʔpiɛnuɑ,lãkiãlãkɔŋ,iəʔpietsəuiəʔpiesuaʔ,jɐtpinhaŋjɐtpinkɔŋ,piẽtsəɯpiẽkɔn,ɕyãtsɯɕyãfɔ,iəʔpiɪ̃tsɯiəʔpiɪ̃tɕiɑ̃,itpienhaŋitpienkoŋ,ʔiəʔmiɤ̃tseiʔiəʔmiɤ̃sɥəʔ,inəutsəuinəusuo,ipiartsouipiarʂuo,suãtsousuãʂɤ,tsɤutiɲifɤtiɲi,pitsaupikuɔ,imiɛ̃tsəuimiɛ̃tɕiɐ̃,iʌʔpiɤtsəuiʌʔpiɤsuʌʔ,iɪʔmitsɤiɪʔmikɑ̃,imiɛ̃ntsoutʂəliimiɛ̃nfətʂəli,tsʰiaukiãtsʰiautã,ipiartsouipiarʂuo
48,yɛtsouyɛyanyɛliauyɛyɛtuo,yetsəuyeyanyepaiyeto,iɛtsəuiɛianiɛsuiɛto,yɵʔtsɛuyɵʔyɵnyɵʔuɑyɵʔto,lukiãluhŋlukɔŋlutse,yəʔtsəuyəʔyeyəʔsuaʔyəʔtɤ,jythaŋjytjynjytkɔŋjyttɔ,yætsəɯyæyẽyækɔnyæto,yutsɯyuyãyufɔyutu,yɐʔtsɯyɐʔyɪ̃yɐʔtɕiɑ̃yɐʔtʊ,iattseuiatianiatkoŋiatto,ɦyəʔtseiɦyəʔʔyõɦyəʔsɥəʔɦyəʔto,yetsəuyeyɛnyesuoyetuo,yɛtsouyɛyanyɛʂuoyɛtuo,yɛtsouyɛyãyɛʂɤyɛtuo,yɤtɤuyɤuyanyɤfɤyɤtuɤ,jytsaujyjyjykuɔjytɤu,iɛtsəuiɛiɛ̃iɛʂoiɛto,yʌʔtsəuyʌʔyɤyʌʔsuʌʔyʌʔtei,ɦyɪʔtsɤɦyɪʔɦypɦyɪʔkɑ̃ɦyɪʔtu,yətsouyəyɛ̃nlɔyəfəyətuəlɔ,zukiãzuhŋzutãzutsoi,yetsouyeyanyesuoyetuo
49,paineituŋɕinakeiuo,panakotoŋɕinakeŋo,paakotoŋɕilakeiŋo,pɑhetsɑʔtuŋɕilɑʔtɛʔŋo,kahitlebĩʔkiãtʰeʔhogua,pavaituəŋɕixɤkeiɣɤ,tsœŋkɔkɔjɛlɔpeiŋɔ,pɒnɒtʂɒtənsinɒpɒŋo,panɛkɔtuə̃ɕjkɨnɔtɕikɨkɔ,palakətəŋsɹ̩tsətsɹ̩keʊ,paketsaktuŋsinapunŋai,pəʔnɑkoʔtoŋɕidopəʔŋo,panakuotoŋɕipaŋuo,paneikɤtuŋɕinakeiuo,pauotuŋɕikeiŋɤ,paɲeikɤtuŋɕikeivɤ,dehekaimøzɹ̩tohaŋ̩,ænəkətoŋɕinɐkəo,pɑuʌʔxuætuŋseitɕyŋiɤxeikueilæ,neimigəʔməʔzɹ̩pəʔŋo,tɕiapalɛkətũnɕikɯvətɕʰykɯixaʂa,hɯkaimuẽʔkʰioʔpuŋua,pɑneivaniərtikeiuo
50,iouɕiɛkətitɕiɛrkuantʰaiiɑŋtɕiɑuʐɻ̩tʰou,iəunitifaŋpatʰaiiaŋtɕiautsozɹ̩tʰəu,iəuɕiɛtifaŋpatʰaiiaŋtɕiaotsuzɹ̩tʰəu,iuɕiɛʔtʰifoŋtɕiɛutʰaiiɔŋtsuɲiʔtʰɛu,uesotsaikatʰaiiɔŋkiotsuelittʰau,iəuɕiartifɒ̃paiɒ̃pʰɤtɕiauzəʔtʰəu,jɐutiteifɔŋtsœŋtʰaijœŋkiutsoujɐttʰɐu,iəɯtitɔnʂɔntɕiaɯiantsəɯidəɯ,iɯɕitsɹ̩fɔ̃patʰɛiɔ̃tɕiɔʐɛtʰɯɛtʂɛ,iɯsɹ̩tsɹ̩fɑ̃patʰɤiɑ̃tɕiɔʐəʔtʰɯ,iuteutʰifoŋpatʰaiioŋhamtsoŋittʰeu,ʔiøtiəʔdifɑŋpəʔtʰɤɦiɑŋtɕiɔzəʔdei,ieuɕietifaŋpatʰaiiaŋtɕiauɯtʰəu,iouɕiɛtifaŋkuantʰaiiaŋtɕiauʐɻ̩tʰou,iouɕiɛtifaŋpatʰaiiaŋtɕiauərtʰou,iɤutitifaŋpatʰaiiɑŋtɕiɔʐɻ̩tʰɤu,jauledeihuɔdetʰajitɕiɛɲidɤu,iəuɕiɛtifɐ̃̃ætʰæiɐ̃tɕiɔʐətʰəu,iəuɕiɤtixuəxuəpɑtʰæiɑŋxuɑŋʐʌʔtəuiɤ,ɦiɤtsoŋdifɑ̃netʰaɦiãtɕiɔɲiɪʔdɤ,iouɕiətifɑ̃patʰɛiɑ̃tɕiɔʐɻ̩tʰou,ulaŋlotihŋliaʔtsiatʰaiiaŋkiotsoziktʰau,iouɕietitɕierpɑtʰaiiɑŋtɕiɑuʐɻ̩tʰou
51,ninkueiɕiŋuoɕiŋuɑŋ,ɲikueiɕinŋoɕinuaŋ,likueiɕinŋoɕinuaŋ,n̩kuiɕiɑŋŋoɕiɑŋuɔŋ,likuisẽguasĩoŋ,nikueiɕiəŋɣɤɕiəŋvɒ̃,neikwɐisiŋŋɔsiŋwɔŋ,n̩nənkɒkuəisinŋosinuɔn,ɲiɕiə̃sanɔɕiə̃uɔ̃,likueɕinʊɕinuɑ̃,n̩kuisiaŋŋaŋaisiaŋvoŋ,nikuiɕinŋoɕinɦuɑŋ,nitɕiakueiɕinŋuoɕinuaŋ,nikueiɕiŋuomiankueiɕiŋuaŋ,nikueiɕiŋŋɤɕiŋuaŋ,ɲikueiɕiŋvɤɕiŋvɑŋ,ɲitɕyseŋaŋ̩seŋjyɔ,nikueiɕĩoɕĩuɐ̃,n̩ɕiŋʂəŋliʌʔŋiɤɕiŋuə,noŋkueɕiŋŋoɕiŋɦuɑ̃,ɲiɕinsavəɕĩnvɑ̃,lɯkuisẽuasẽheŋ,niləkueiɕiŋuoɕiŋvɑŋ
52,niɕiŋuɑŋuoiɛɕiŋuɑŋtsamliatouɕiŋuɑŋ,ɲiɕinuaŋŋoieɕinuaŋŋomənniaŋkotəuɕinuaŋ,liɕinuaŋŋoiɛsɹ̩ɕinuaŋŋomenliaŋkotəuɕinuaŋ,n̩ɕiɑŋuɔŋŋoɑɕiɑŋuɔŋŋomɨnliɔŋkoɲintuɕiɑŋuɔŋ,lisĩoŋguabãsĩoŋlanlŋelaŋloŋsĩoŋ,niɕiəŋvɒ̃ɣɤieɕiəŋvɒ̃tsaliakɤtəuɕiəŋvɒ̃,neisiŋwɔŋŋɔjiksiŋwɔŋŋɔteilœŋkɔtousiŋwɔŋ,ɲiiɒsinuɔnŋoiɒsinuɔnŋoinniankointəɯsinuɔn,ɲiɕiə̃uɔ̃nɔiɕiə̃uɔ̃nɔliajkuaɕiə̃uɔ̃,liɕinuɑ̃ʊiɤɕinuɑ̃ʊliɑ̃kətɯɕinuɑ̃,n̩siaŋvoŋŋaiiasiaŋvoŋŋailioŋkeŋintusiaŋvoŋ,niɕinɦuɑŋŋoɦɑɕinɦuɑŋŋomendɑtɕiɑtuɕinɦuɑŋ,niɕinuaŋŋuoieɕinuaŋŋuomənniaŋkuotəuɕinuaŋ,niɕiŋuaŋuoiɛɕiŋuaŋtsanliaʂɻ̩itɕiatsɹ̩,niɕiŋuaŋŋɤiɛɕiŋuaŋtsailiasɹ̩itɕiatsɹ̩,ɲiɕiŋvɑŋvɤiɤɕiŋvɑŋtsamɤŋliɑŋkɤtɤuɕiŋvɑŋ,ɲiseŋjyɔŋ̩ɦaseŋjyɔŋuɔɲiliɛkaioseŋjyɔ,niɕĩuɐ̃oiɛɕĩuɐ̃omə̃liɐ̃kətuɕĩuɐ̃,n̩ɕiŋuəŋiɤiɤɕiŋuətsɑliɑŋxuæʐəŋteiɕiŋuə,noŋɕiŋɦuɑ̃ŋoɦaɕiŋɦuɑ̃aʔlaliãkadɤzeɕiŋɦuɑ̃,ɲiɕĩnvɑ̃vəiəɕĩnvɑ̃vəmə̃nliɑ̃kəʐə̃ntouɕĩnvɑ̃,lɯsẽheŋuaasẽheŋnaŋnõnaŋloŋsẽheŋ,niɕiŋvɑŋuoieɕiŋvɑŋtsanliɑtouɕiŋvɑŋ
53,niɕiantɕʰypauomtaixuərtsaitɕʰy,ɲiɕiantɕʰiemaŋoməntənxərtɕiəunai,liɕiankʰitaoxaŋomentenixaxatsaikʰɛ,n̩piɛntɕʰieloŋokolitɛnɑtsɹ̩tsaitɕʰie,lisiŋkʰiagunsiotanletsiaʔkʰi,niɕietɕʰyvaɣãməŋtəŋiəʔtsəŋtsəŋtsaitɕʰy,neihøysinlaŋɔtɐŋjɐttsɐnsinhøy,ɲisiẽtɕʰienoŋoinkoikædʑitsaitɕʰie,ɲiɕiãtɕʰjsanɔmə̃tə̃jkualiɔtsɛtɕʰj,litɕʰiɪ̃tsʰɥpaʊməntəniəʔʂɐʔtsətsɤtsʰɥ,n̩tson̩sienhiŋaitenŋintenithatsaŋhi,niɕiɤ̃tɕʰiŋomentenʔiəʔɕiəʔəltsɤtɕʰi,niɕiɛnkʰɯpaŋuoməntənixartsaikʰɯ,niɕiantɕʰypauoməntəŋixuərtsaitɕʰy,niɕiãtɕʰiŋaititəŋixatsaitɕʰi,ɲiɕiantɕʰivɤmɤŋtɤŋixatsaitɕʰi,ɲitsaueiɕiŋ̩letaŋoŋ̩tsetsau,nitɕʰiɛ̃kʰəmɐomə̃tə̃ixɐtsækʰə,n̩ɕiɤtɕʰyuɑŋʌʔməŋtəŋtəŋtsætɕʰy,noŋɕitɕʰivaʔaʔlatəŋtʰəʔiɪʔɕiɪʔtsetɕʰi,ɲiɕiɛ̃ntɕʰiʂavəmə̃ntə̃nixalɔtsɛtɕʰi,lɯsõikʰɯuaŋtaŋetsiãlaikʰɯ,nitɕʰiantɕʰypɑuoməntaixuərtsaitɕʰy
54,nitʂʰouianputʂʰou,ɲitsʰɹ̩putsʰɹ̩ian,litsʰɹ̩ianputsʰɹ̩,n̩tɕʰiɑʔiɛnpo,liutsiaʔhunbo,nitsʰəʔielɤpəʔ,neisikmsikjin,ɲitɕʰiɒiẽpu,ɲiiãtʂʰɻ̩l̩pɔ̃,likʰətɕʰiəʔiɪ̃,n̩sətianmo,niɕiɑŋʔiɤ̃tɕʰioʔpəʔtɕʰioʔ,nitɕʰiputɕʰiiɛn,nitʂʰouputʂʰouian,nitʂʰɻ̩iãpu,ɲiiantʂʰɤuputʂʰu,ɕijiɲitsʰɹ̩afu,nikətsɐiɛ̃,n̩tʂʰʌʔpʌʔtʂʰʌʔiɤ,noŋɕiãitɕʰiɪʔvaʔ,iɛ̃nɲitʂʰoulimaputʂʰou,lɯkʰaʔutsiaʔhuŋ,nitsʰouianmɑ
55,niʐəntəneikəʐənpuʐəntə,ɲizənpuzəntetaunakozən,lizentɛakozenpu,n̩ɲintɛʔhekoɲinpo,luusiʔsaihitlelaŋbo,nizəŋtiəʔvaizəŋlɤpəʔ,neijiŋmjiŋtɐkkɔkɔjɐn,ɲiintænɒtʂɒinpu,nɛkɔʐə̃ɲiʐətil̩pɔ̃,likʰəʐəntɐʔlakəʐən,n̩səttetketsakŋinmo,nɑkoʔlɔkuõnizenpəʔzensəʔ,nizənpuzəntɤnakuozən,niʐənpuʐəntineikɤʐən,uoʐẽniʐẽteitei,ɲiʐɤŋteineikɤʐɤŋɲima,hekainaŋɲiseiafu,nikəʐə̃tənəkəʐə̃,n̩ʐəŋtiʌʔuʌʔxuæʐəŋpʌʔʐəŋtiʌʔ,noŋɲiŋtəʔemiɦəʔɲiŋvaʔ,lɛkəʐə̃nɲiʐə̃ntəʐə̃nputə,lɯkʰaʔoipakhɯkaimuẽʔ,niintipuintineikəʐən
