dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
TY,Taiyuan,32,好好地走，不要跑。,好好走，不敢跑,,xau xau tsəu pəʔ kæ̃ pˈau,xau53 xau5311 tsəu53 pəʔ245 kæ̃53 pˈau53,xau xau t͡səu pəʔ kæ̃ pʰau,xau53 xau5311 t͡səu53 pəʔ245 kæ̃53 pʰau53
TY,Taiyuan,33,小心跌下去爬不上来。,操心跌下去爬不上来,,tsˈau ɕiəŋ tiəʔ xa kəʔ pˈa pəʔ sɒ̃ lai,tsˈau11 ɕiəŋ11 tiəʔ2 xa45 kəʔ pˈa11 pəʔ2 sɒ̃45 lai53,t͡sʰau ɕiəŋ tiəʔ xa kəʔ pʰa pəʔ sɒ̃ lai,t͡sʰau11 ɕiəŋ11 tiəʔ2 xa45 kəʔ pʰa11 pəʔ2 sɒ̃45 lai53
TY,Taiyuan,34,医生叫你多睡睡。,大夫叫你多睡圪一阵阵,,tai fu tɕiau ni tɤ suei kəʔ iəʔ tsəŋ tsəŋ,tai45 fu53 tɕiau45 ni53 tɤ11 suei45 kəʔ iəʔ2 tsəŋ45 tsəŋ4553,tai fu t͡ɕiau ni tɤ suei kəʔ iəʔ t͡səŋ t͡səŋ,tai45 fu53 t͡ɕiau45 ni53 tɤ11 suei45 kəʔ iəʔ2 t͡səŋ45 t͡səŋ4553
TY,Taiyuan,35,抽烟或者喝茶都不许。,吃烟喝茶都不许,,tsəʔ ie xaʔ tsˈa təu pəʔ ɕy,tsəʔ254 ie11 xaʔ254 tsˈa11 təu11 pəʔ254 ɕy53,t͡səʔ ie xaʔ t͡sʰa təu pəʔ ɕy,t͡səʔ254 ie11 xaʔ254 t͡sʰa11 təu11 pəʔ254 ɕy53
TY,Taiyuan,36,烟也好，茶也好，我都不喜欢。,烟也好，茶也好，我都不待见,,ie ie xau tsˈa ie xau ɣɤ təu pəʔ tai tɕie,ie11 ie5311 xau53 tsˈa ie5311 xau53 ɣɤ53 təu11 pəʔ2 tai45 tɕie4553,ie ie xau t͡sʰa ie xau ɣɤ təu pəʔ tai t͡ɕie,ie11 ie5311 xau53 t͡sʰa ie5311 xau53 ɣɤ53 təu11 pəʔ2 tai45 t͡ɕie4553
TY,Taiyuan,37,不管你去不去，反正我是要去的。,不管你去不去，反正我要去,,pəʔ kuæ̃ ni tɕˈy pəʔ tɕˈy fæ̃ tsəŋ ɣɤ iau tɕˈy,pəʔ2 kuæ̃53 ni53 tɕˈy45 pəʔ2 tɕˈy45 fæ̃53 tsəŋ45 ɣɤ53 iau45 tɕˈy45,pəʔ kuæ̃ ni t͡ɕʰy pəʔ t͡ɕʰy fæ̃ t͡səŋ ɣɤ iau t͡ɕʰy,pəʔ2 kuæ̃53 ni53 t͡ɕʰy45 pəʔ2 t͡ɕʰy45 fæ̃53 t͡səŋ45 ɣɤ53 iau45 t͡ɕʰy45
TY,Taiyuan,38,我非去不可。,我非去不行,,ɣɤ fei tɕˈy pəʔ ɕiəŋ,ɣɤ53 fei11 tɕˈy45 pəʔ254 ɕiəŋ11,ɣɤ fei t͡ɕʰy pəʔ ɕiəŋ,ɣɤ53 fei11 t͡ɕʰy45 pəʔ254 ɕiəŋ11
TY,Taiyuan,39,你是哪一年来的?,你是哪年来的,,ni sɿ na nie lai təʔ,ni53 sɿ45 na53 nie11 lai11 təʔ,ni sɹ̩ na nie lai təʔ,ni53 sɹ̩45 na53 nie11 lai11 təʔ
TY,Taiyuan,40,我是前年到的北京。,我是前年到的北京,,ɣɤ sɿ tɕˈie nie tau təʔ pei tɕiəŋ,ɣɤ53 sɿ45 tɕˈie11 nie11 tau45 təʔ pei53 tɕiəŋ11,ɣɤ sɹ̩ t͡ɕʰie nie tau təʔ pei t͡ɕiəŋ,ɣɤ53 sɹ̩45 t͡ɕʰie11 nie11 tau45 təʔ pei53 t͡ɕiəŋ11
TY,Taiyuan,41,今天开会谁的主席?,今日开会谁的主席,,tɕiəŋ zəʔ kˈai xuei suei təʔ tsu ɕiəʔ,tɕiəŋ11 zəʔ2 kˈai11 xuei45 suei11 təʔ2 tsu5311 ɕiəʔ54,t͡ɕiəŋ zəʔ kʰai xuei suei təʔ t͡su ɕiəʔ,t͡ɕiəŋ11 zəʔ2 kʰai11 xuei45 suei11 təʔ2 t͡su5311 ɕiəʔ54
