dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
CD,Chengdu,133,正好,恰恰,,tɕˈia tɕˈia,tɕˈia31 tɕˈia31,t͡ɕʰia t͡ɕʰia,t͡ɕʰia31 t͡ɕʰia31
CD,Chengdu,134,和,和,,xo,xo31,xo,xo31
CD,Chengdu,135,只,只,,tsɿ,tsɿ53,t͡sɹ̩,t͡sɹ̩53
CD,Chengdu,136,从,从,,tsˈoŋ,tsˈoŋ31,t͡sʰoŋ,t͡sʰoŋ31
CD,Chengdu,137,替,帮,,paŋ,paŋ55,paŋ,paŋ55
CD,Chengdu,138,拿,拿,,na,na31,na,na31
CD,Chengdu,139,故意,利边,,ni pian,ni13 pian55,ni pian,ni13 pian55
CD,Chengdu,140,一,一,,i,i31,i,i31
CD,Chengdu,141,二,二,,ər,ər13,ər,ər13
CD,Chengdu,142,三,三,,san,san55,san,san55
CD,Chengdu,143,四,四,,sɿ,sɿ13,sɹ̩,sɹ̩13
CD,Chengdu,144,五,五,,u,u53,u,u53
CD,Chengdu,145,六,六,,nu,nu31,nu,nu31
CD,Chengdu,146,七,七,,tɕˈi,tɕˈi31,t͡ɕʰi,t͡ɕʰi31
CD,Chengdu,147,九,九,,tɕiəu,tɕiəu53,t͡ɕiəu,t͡ɕiəu53
CD,Chengdu,148,十,十,,sɿ,sɿ31,sɹ̩,sɹ̩31
CD,Chengdu,149,十一,十一,,sɿi,sɿ31i31,sɹ̩i,sɹ̩31i31
CD,Chengdu,150,十二,十二,,sɿər,sɿ31ər13,sɹ̩ər,sɹ̩31ər13
CD,Chengdu,151,二十,二十,,ər sɿ,ər13 sɿ31,ər sɹ̩,ər13 sɹ̩31
CD,Chengdu,152,二十一,二一,,ər i,ər13 i31,ər i,ər13 i31
CD,Chengdu,153,一百二十,一百二,,i pe ər,i31 pe31 ər13,i pe ər,i31 pe31 ər13
CD,Chengdu,154,第二,第二,,ti ər,ti13 ər13,ti ər,ti13 ər13
CD,Chengdu,155,二两,二两,,ər niaŋ,ər13 niaŋ53,ər niaŋ,ər13 niaŋ53
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
