dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
SH,Shanghai,18,你说得很好，你还会说点什么呢?,侬讲得老好个，侬还会讲点啥呢,,noŋ kɑ̃ təʔ lɔ hɔ ɦə noŋ ɦɛ ɦue kɑ̃ ti sa nə,noŋ13 kɑ̃35-44 təʔ5 lɔ35-22 hɔ35-55 ɦə21 noŋ13 ɦɛ13-22 ɦue13-44 kɑ̃35-33 ti35-55 sa35-33 nə13-21,noŋ kɑ̃ təʔ lɔ hɔ ɦə noŋ ɦɛ ɦue kɑ̃ ti sa nə,noŋ13 kɑ̃35-44 təʔ5 lɔ35-22 hɔ35-55 ɦə21 noŋ13 ɦɛ13-22 ɦue13-44 kɑ̃35-33 ti35-55 sa35-33 nə13-21
SH,Shanghai,19,我嘴笨，我说不过他。,我闲话讲勿大来，我讲勿过伊,,ɦo kɑ̃ vəʔ da le ŋo kɑ̃ vəʔ ku ɦi,ɦo13-44 kɑ̃35-33 vəʔ1-55 da13-33 le13-21 ŋo13 kɑ̃35-33 vəʔ1-55 ku35-33 ɦi13-21,ɦo kɑ̃ vəʔ da le ŋo kɑ̃ vəʔ ku ɦi,ɦo13-44 kɑ̃35-33 vəʔ1-55 da13-33 le13-21 ŋo13 kɑ̃35-33 vəʔ1-55 ku35-33 ɦi13-21
SH,Shanghai,20,说了一遍，又说一遍。,讲勒一遍，又讲一遍,,kɑ̃ ləʔ iɪʔ pi ɦiɤ kã iɪʔ pi,kɑ̃35-23 ləʔ1-55 iɪʔ5-33 pi35-21 ɦiɤ13 kã35-33 iɪʔ5-55 pi35-21,kɑ̃ ləʔ iɪʔ pi ɦiɤ kã iɪʔ pi,kɑ̃35-23 ləʔ1-55 iɪʔ5-33 pi35-21 ɦiɤ13 kã35-33 iɪʔ5-55 pi35-21
SH,Shanghai,21,请你再说一遍。,请侬再讲一遍,,tɕˈiŋ noŋ tse kɑ̃ iɪʔ pi,tɕˈiŋ35-33 noŋ13-44 tse35 kɑ̃35-33 iɪʔ5-55 pi35-21,t͡ɕʰiŋ noŋ t͡se kɑ̃ iɪʔ pi,t͡ɕʰiŋ35-33 noŋ13-44 t͡se35 kɑ̃35-33 iɪʔ5-55 pi35-21
SH,Shanghai,22,不早了，快去吧。,勿早勒，豪悛去吪,,vəʔ tsɔ ləʔ ɦɔ sɔ tɕˈi vaʔ,vəʔ1-1 tsɔ35-23 ləʔ1-21 ɦɔ13-22 sɔ35-44 tɕˈi35-33 vaʔ1-44,vəʔ t͡sɔ ləʔ ɦɔ sɔ t͡ɕʰi vaʔ,vəʔ1-1 t͡sɔ35-23 ləʔ1-21 ɦɔ13-22 sɔ35-44 t͡ɕʰi35-33 vaʔ1-44
SH,Shanghai,23,现在还早着呢，等一会儿再去吧。,现在还早辣海，过脱一歇再去好味,,ɦi ze ɦɛ tsɔ laʔ he ku tˈəʔ iɪʔ ɕiɪʔ tse tɕˈi hɸ le,ɦi13-22 ze13-44 ɦɛ13 tsɔ35-33 laʔ1-55 he35-21 ku35-33 tˈəʔ5-55 iɪʔ5-33 ɕiɪʔ5-21 tse35-33 tɕˈi35-55 hɸ35-33 le13-21,ɦi ze ɦɛ t͡sɔ laʔ he ku tʰəʔ iɪʔ ɕiɪʔ t͡se t͡ɕʰi hɸ le,ɦi13-22 ze13-44 ɦɛ13 t͡sɔ35-33 laʔ1-55 he35-21 ku35-33 tʰəʔ5-55 iɪʔ5-33 ɕiɪʔ5-21 t͡se35-33 t͡ɕʰi35-55 hɸ35-33 le13-21
SH,Shanghai,24,吃了饭再去好吗?,吃勒饭再去哪能,,tɕˈiɪʔ ləʔ ve tse tɕi na nəŋ,tɕˈiɪʔ5-3 ləʔ1-55 ve13-21 tse35-44 tɕi35 na13-22 nəŋ13-44,t͡ɕʰiɪʔ ləʔ ve t͡se t͡ɕi na nəŋ,t͡ɕʰiɪʔ5-3 ləʔ1-55 ve13-21 t͡se35-44 t͡ɕi35 na13-22 nəŋ13-44
SH,Shanghai,25,慢慢儿吃啊，不要着急。,慢慢叫吃，勿要急,,me me tɕiɔ tɕiɪʔ vəʔ iɔ tɕiɪʔ,me13-22 me13-55 tɕiɔ35-21 tɕiɪʔ5 vəʔ1-1 iɔ35-23 tɕiɪʔ5,me me t͡ɕiɔ t͡ɕiɪʔ vəʔ iɔ t͡ɕiɪʔ,me13-22 me13-55 t͡ɕiɔ35-21 t͡ɕiɪʔ5 vəʔ1-1 iɔ35-23 t͡ɕiɪʔ5
SH,Shanghai,26,坐着吃比站着吃好些。,坐辣海吃比立辣海吃好一眼,,zu laʔ he tɕˈiɪʔ pi li laʔ he tɕˈiɪʔ hɔ iɪʔ ŋe,zu13-22 laʔ1-55 he35-21 tɕˈiɪʔ5 pi35 li13-22 laʔ1-55 he35-21 tɕˈiɪʔ5 hɔ35-33 iɪʔ5-55 ŋe13-21,zu laʔ he t͡ɕʰiɪʔ pi li laʔ he t͡ɕʰiɪʔ hɔ iɪʔ ŋe,zu13-22 laʔ1-55 he35-21 t͡ɕʰiɪʔ5 pi35 li13-22 laʔ1-55 he35-21 t͡ɕʰiɪʔ5 hɔ35-33 iɪʔ5-55 ŋe13-21
SH,Shanghai,27,他吃了饭了，你吃了饭没有呢?,伊饭吃过勒，侬饭吃过栰,,ɦi ve tɕˈiɪʔ ku ləʔ noŋ ve tɕˈiɪʔ ku vaʔ,ɦi13 ve13 tɕˈiɪʔ5-3 ku35-55 ləʔ1-21 noŋ13 ve13 tɕˈiɪʔ5-3 ku35-55 vaʔ13-21,ɦi ve t͡ɕʰiɪʔ ku ləʔ noŋ ve t͡ɕʰiɪʔ ku vaʔ,ɦi13 ve13 t͡ɕʰiɪʔ5-3 ku35-55 ləʔ1-21 noŋ13 ve13 t͡ɕʰiɪʔ5-3 ku35-55 vaʔ13-21
