dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
TY,Taiyuan,26,菠菜,青菜 ,,tɕˈi tsˈai,tɕˈi11 tsˈai45,t͡ɕʰit͡sʰai,t͡ɕʰi11t͡sʰai45
TY,Taiyuan,27,卷心菜,茴子白,,xuei tsəʔ pai,xuei11 tsəʔ pai11,xueit͡səʔpai,xuei11t͡səʔpai11
TY,Taiyuan,28,西红柿,西番柿,,ɕi fæ̃ sɿ,ɕi11 fæ̃11 sɿ45,ɕifæ̃sɹ̩,ɕi11fæ̃11sɹ̩45
TY,Taiyuan,29,茄子,茄子 ,,tɕˈie tsəʔ,tɕˈie11 tsəʔ,t͡ɕʰiet͡səʔ,t͡ɕʰie11t͡səʔ
TY,Taiyuan,30,白薯,红薯 ,,xuəŋ su,xuəŋ11 su53,xuəŋsu,xuəŋ11su53
TY,Taiyuan,31,马铃薯,山药蛋,,sæ̃ iəʔ tæ̃,sæ̃11 iəʔ2 tæ̃45,sæ̃iəʔtæ̃,sæ̃11iəʔ2tæ̃45
TY,Taiyuan,32,南瓜,南瓜,,næ̃ kua,næ̃11 kua11,næ̃kua,næ̃11kua11
TY,Taiyuan,33,猪,猪 ,,tsu,tsu11,t͡su,t͡su11
TY,Taiyuan,34,公猪,公猪,,kuəŋ tsu,kuəŋ11 tsu11,kuəŋt͡su,kuəŋ11t͡su11
TY,Taiyuan,35,母猪,母猪,,mu tsu,mu53 tsu11,mut͡su,mu53t͡su11
TY,Taiyuan,36,公鸡,公鸡,,kuəŋ tɕi,kuəŋ11 tɕi11,kuəŋt͡ɕi,kuəŋ11t͡ɕi11
TY,Taiyuan,37,母鸡,草鸡,,tsˈau tɕi,tsˈau53 tɕi11,t͡sʰaut͡ɕi,t͡sʰau53t͡ɕi11
TY,Taiyuan,38,麻雀,雀儿,,tɕˈyar,tɕˈyar53,t͡ɕʰyar,t͡ɕʰyar53
TY,Taiyuan,39,老鼠,鷇儿,,ku ər,ku11 ər11,kuər,ku11ər11
TY,Taiyuan,40,臭虫,壁虱,,piəʔ səʔ,piəʔ254 səʔ2,piəʔsəʔ,piəʔ254səʔ2
TY,Taiyuan,41,房子(整),房子 ,,fɒ̃ tsəʔ,fɒ̃11 tsəʔ,fɒ̃t͡səʔ,fɒ̃11t͡səʔ
TY,Taiyuan,42,房子(单),家,,tɕia,tɕia11,t͡ɕia,t͡ɕia11
TY,Taiyuan,43,窗户,窗户,,tsˈuɒ̃ xu,tsˈuɒ̃11 xu45,t͡sʰuɒ̃xu,t͡sʰuɒ̃11xu45
TY,Taiyuan,44,门坎,门限限 ,,məŋ ɕie ɕie,məŋ11 ɕie45 ɕie4553,məŋɕieɕie,məŋ11ɕie45ɕie4553
TY,Taiyuan,45,厕所,茅房 ,,mau fɒ̃,mau11 fɒ̃11,maufɒ̃,mau11fɒ̃11
TY,Taiyuan,46,厨房,厨房,,tsˈu fɒ̃,tsˈu11 fɒ̃11,t͡sʰufɒ̃,t͡sʰu11fɒ̃11
TY,Taiyuan,47,烟囱,烟洞 ,,ie tuəŋ,ie11 tuəŋ45,ietuəŋ,ie11tuəŋ45
TY,Taiyuan,48,桌子,桌子,,tsuaʔ tsəʔ,tsuaʔ2 tsəʔ,t͡suaʔt͡səʔ,t͡suaʔ2t͡səʔ
TY,Taiyuan,49,楼梯,楼梯,,ləu tˈi,ləu11 tˈi11,ləutʰi,ləu11tʰi11
TY,Taiyuan,50,头,得脑,,təʔ nau,təʔ254 nau53,təʔnau,təʔ254nau53
TY,Taiyuan,51,额头,奔颅,,pəŋ ləu,pəŋ11 ləu11,pəŋləu,pəŋ11ləu11
TY,Taiyuan,52,脸,眉眼,,mi nie,mi11 nie53,minie,mi11nie53
TY,Taiyuan,53,鼻子,鼻子,,piəʔ tsəʔ,piəʔ53 tsəʔ,piəʔt͡səʔ,piəʔ53t͡səʔ
TY,Taiyuan,54,脖子,脖子,,paʔ tsəʔ,paʔ54 tsəʔ,paʔt͡səʔ,paʔ54t͡səʔ
TY,Taiyuan,55,左手,左手,,tsuɤ səu,tsuɤ5311 səu53,t͡suɤsəu,t͡suɤ5311səu53
TY,Taiyuan,56,右手,正手,,tsəŋ səu,tsəŋ45 səu53,t͡səŋsəu,t͡səŋ45səu53
TY,Taiyuan,57,拳头,圪都,,kəʔ tu,kəʔ54 tu11,kəʔtu,kəʔ54tu11
TY,Taiyuan,58,手指头,手指头,,səu tsəʔ tˈəu,səu53 tsəʔ2 tˈəu1145,səut͡səʔtʰəu,səu53t͡səʔ2tʰəu1145
TY,Taiyuan,59,指甲,指甲,,tsəʔ tɕiaʔ,tsəʔ254 tɕiaʔ2,t͡səʔt͡ɕiaʔ,t͡səʔ254t͡ɕiaʔ2
