dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
CD,Chengdu,27,他吃了饭了，你吃了饭没有呢?,他吃了饭了，你吃了饭没有?,,tˈa tsˈɿ no fan no ȵi tsˈɿ no fan mei iəu,tˈa55 tsˈɿ31 no53 fan13 no53 ȵi53 tsˈɿ no53 fan13 mei1355 iəu53,tʰa t͡sʰɹ̩ no fan no ɲi t͡sʰɹ̩ no fan mei iəu,tʰa55 t͡sʰɹ̩31 no53 fan13 no53 ɲi53 t͡sʰɹ̩ no53 fan13 mei1355 iəu53
CD,Chengdu,28,他去过上海，我没有去过。,他去过上海，我没去过。,,tˈa tɕˈie ko saŋ xai ŋo mei tɕˈie ko,tˈa55 tɕˈie13 ko13 saŋ13 xai53 ŋo53 mei1355 tɕˈie13 ko13,tʰa t͡ɕʰie ko saŋ xai ŋo mei t͡ɕʰie ko,tʰa55 t͡ɕʰie13 ko13 saŋ13 xai53 ŋo53 mei1355 t͡ɕʰie13 ko13
CD,Chengdu,29,来闻闻这朵花香不香。,来闻下子这朵花香不香。,,nai uən xa tsɿ tse to xua ɕiaŋ pu ɕiaŋ,nai31 uən31 xa13 tsɿ53 tse13 to53 xua55 ɕiaŋ55 pu31 ɕiaŋ55,nai uən xa t͡sɹ̩ t͡se to xua ɕiaŋ pu ɕiaŋ,nai31 uən31 xa13 t͡sɹ̩53 t͡se13 to53 xua55 ɕiaŋ55 pu31 ɕiaŋ55
CD,Chengdu,30,给我一本书。,给我一本书。,,ke ŋo i pən su,ke55 ŋo53 i31 pən53 su55,ke ŋo i pən su,ke55 ŋo53 i31 pən53 su55
CD,Chengdu,31,我真的没有那本书呀。,我硬是莫得那本书。,,ŋo ŋən sɿ mo te na pən su,ŋo53 ŋən13 sɿ13 mo31 te3155 na13 pən53 su55,ŋo ŋən sɹ̩ mo te na pən su,ŋo53 ŋən13 sɹ̩13 mo31 te3155 na13 pən53 su55
CD,Chengdu,32,你告诉他。,你跟他说。,,ȵi kən tˈa so,ȵi53 kən55 tˈa55 so31,ɲi kən tʰa so,ɲi53 kən55 tʰa55 so31
CD,Chengdu,33,好好地走，不要跑。,好生走，不要跑。,,xau sən tsəu pu iau pˈau,xau53 sən55 tsəu53 pu31 iau13 pˈau53,xau sən t͡səu pu iau pʰau,xau53 sən55 t͡səu53 pu31 iau13 pʰau53
CD,Chengdu,34,小心跌下去爬不上来。,小心跘倒了爬不起来。,,ɕiau ɕin pan tau no pˈa pu tɕˈi nai,ɕiau53 ɕin55 pan13 tau53 no53 pˈa31 pu31 tɕˈi53 nai31,ɕiau ɕin pan tau no pʰa pu t͡ɕʰi nai,ɕiau53 ɕin55 pan13 tau53 no53 pʰa31 pu31 t͡ɕʰi53 nai31
CD,Chengdu,35,医生叫你多睡睡。,医生喊你多睡下儿。,,i sən xan ȵi to suei xər,i55 sən55 xan53 ȵi53 to55 suei13 xər55,i sən xan ɲi to suei xər,i55 sən55 xan53 ɲi53 to55 suei13 xər55
CD,Chengdu,36,抽烟或者喝茶都不许。,吃烟吃茶都不准。,,tsˈɿ ian tsˈɿ tsˈa təu pu tsuən,tsˈɿ31 ian55 tsˈɿ31 tsˈa31 təu55 pu31 tsuən53,t͡sʰɹ̩ ian t͡sʰɹ̩ t͡sʰa təu pu t͡suən,t͡sʰɹ̩31 ian55 t͡sʰɹ̩31 t͡sʰa31 təu55 pu31 t͡suən53
CD,Chengdu,37,烟也好，茶也好，我都不喜欢。,烟和茶，我都不喜欢。,,ian xo tsˈa ŋo təu pu ɕi xuan,ian55 xo31 tsˈa31 ŋo53 təu55 pu31 ɕi53 xuan55,ian xo t͡sʰa ŋo təu pu ɕi xuan,ian55 xo31 t͡sʰa31 ŋo53 təu55 pu31 ɕi53 xuan55
