dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone,dialect,id
XA,Xian,181,两里,二里,,ər li,ər44 li,ər44li,ərli,Xian,XA
XA,Xian,182,二两,二两,,ər liaŋ,ər44 liaŋ,ər44liaŋ,ərliaŋ,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
