dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone
A,,124,一双鞋,一双鞋,,,
A,,125,一床被,一床被儿,,,
A,,126,一辆车,一挂子车,,,
A,,127,一条牛,一个牛,,,
A,,128,一口猪,一口猪儿,,,
A,,129,听一会儿,听一下,,,
A,,130,打一下,打一下,,,
A,,131,上头,上头,,,ʂɑ̃13-11 tˈou53
A,,132,下头,下头,,,xa13-11 tˈou53
A,,133,左边,左首,,,tsuə442-53 ʂou442
A,,134,右边,右首,,,iou13-11 ʂou442
A,,135,当中,当中,,,tɑ̃31-33 pfə̃n31
A,,136,里面,里头,,,li442 tˈou21
A,,137,外面,外头,,,vɛ13-11 tˈou53
A,,138,甜,甜,,,tˈiɛ̃n53
A,,139,酸,酸,,,suɛ̃n31
A,,140,咸,咸,,,xɛ̃n53
A,,141,淡,甜,,,xɛ̃n53
A,,142,胖,胖,,,pˈɑ̃13
A,,143,瘦,瘦,,,ʂou13
A,,144,冷,冻,,,tũn13
A,,145,热,热,,,ʐə13
A,,146,香,香,,,ɕiɑ̃31
A,,147,臭,臭,,,tʂˈou13
A,,148,粗,粗,,,tsˈu31
A,,149,细,细,,,ɕi13
A,,150,长,长,,,tʂˈɑ̃53
A,,151,短,短,,,tuɛ̃n442
A,,152,脏,脏,,,tsɑ̃31
A,,153,干净,干净,,,kɛ̃n31 tɕĩn21
A,,154,便宜,便宜,,,pˈiɛ̃n53 i13
A,,155,刚(来),将儿,,,tɕiɑ̃31 ɯ21
A,,156,刚(合适),将,,,tɕiɑ̃31
A,,157,正好,正好儿,,,tʂə̃n13-11 xɔ442 ɯ21
A,,158,和,连,,,liɛ̃n53
A,,159,只,光,,,kuɑ̃31
A,,160,从,跟,,,kə̃n31
A,,161,替,给,,,kɯ442
A,,162,拿,拿,,,la53
A,,163,故意,故意,,,ku13-22 i13
A,,164,一,一,,,i13
A,,165,二,二,,,ɯ13
A,,166,三,三,,,sɛ̃n31
A,,167,四,四,,,sɿ13
A,,168,五,五,,,vu442
A,,169,六,六,,,liou13
A,,170,七,七,,,tɕˈi13
A,,171,八,八,,,pa13
A,,172,九,九,,,tɕiou442
A,,173,十,十,,,ʂʅ13
A,,174,十一,十一,,,ʂʅ13-22 i13
A,,175,十二,十二,,,ʂʅ13-22 ɯ13
A,,176,二十,二十,,,ɯ13-11 ʂʅ53
A,,177,二十一,二十一,,,ɯ13-22 ʂʅ13-22 i13
A,,178,一百二十一,一百二十一,,,i13-22 pə13 ɯ13-22 ʂʅ13-22 i13
A,,179,第一,头一个,,,tˈou53 i13-11 kə53
A,,180,第二,第二,,,ti13-22 ɯ13
A,,181,两里,两里,,,liɑ̃442-53 li442
A,,182,二两,二两,,,ɯ13-11 liɑ̃442
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
