beijing,chengdu,guiyang,hangzhou,harbin,hefei,kunming,lanzhou,meixian,nanchang,pingyao,shanghai,shantou,taibei,taiyuan,tianjin,wenzhou,wuhan,wulumuqi,xian,xianggang,xiangtan,xining
t͡sʰan tou,fu təu,fu təu,dzɤ̃ dei əl,t͡sʰan tou,t͡sʰæ̃ tɯ,t͡sʰÃ təu,ta tou,fu tʰeu,t͡sʰɵn tʰɛu,tɑ təu,ɦø dɤ,piaŋ tau,t͡sʰan tau,ta təu,t͡sʰan tou,va dɤu,t͡sʰan təu,ta tɤu,t͡sʰã tou,t͡sʰam tɐu,uan dəɯ,ta tɯ
ɕiaŋ ʐɻ̩ kʰuei,ɕiaŋ zɹ̩ kʰuei,kʰuei xua,gui huɑ,ta kʰuei xua,kʰue xua,tʂʰɔ iÃ pĩ,ɕiɑ̃ ʐɻ̩ kʰuei,hioŋ ŋit kʰui,kʰui fɑ,tʂʰɔ iɑŋ xuɑ,ɕiã zəʔ gue,hiaŋ zik kʰui,hiɔŋ iɔŋ hue,kʰuei xua,tʂuan lian,tʰa ji vai ho,kʰuei xua,kʰuei xua,ɕiaŋr kʰuei,hœŋ jɐt kʰwɐi,t͡ɕyẽ i niẽ,ɕiɔ̃ ʐɻ̩ kʰuɨ
po t͡sʰai,po t͡sʰai,po t͡sʰai,po t͡sʰɤ,pɤ t͡sʰai,pʊ t͡sʰɤ,po t͡sʰæ,lu pə t͡sʰɛ,kok t͡sʰoi ie,po t͡sʰai,t͡sʰei t͡sʰæ,pu t͡sʰe,pue leŋ,po lin a t͡sʰai,t͡ɕʰi t͡sʰai,po t͡sʰai,pa laŋ t͡sʰe,po t͡sʰai,pɤ t͡sʰai,po t͡sʰai,pɔ t͡sʰɔi,po t͡sʰai,pɔ t͡sʰɛ
iɑŋ pai t͡sʰai,t͡ɕyan ɕin pe,ko ɕin pɛ,pɔ ɕin t͡sʰɤ,ta tʰou t͡sʰai,pɔ tʰɯ t͡sʰɤ,liɛ̃ xuA pə,liɛ̃n xua t͡sʰɛ,pau t͡sʰoi,pɑu t͡sʰai,xuæ t͡sʌʔ pæ,t͡ɕyø ɕiŋ t͡sʰe,ko le,kŋ̩ sim t͡sʰai,xuei t͡səʔ pai,iɑŋ pai t͡sʰai,dʑau t͡sʰe,t͡ɕyɛn ɕin t͡sʰai,lian xua pei,liã xua pei,jɛ t͡sʰɔi,paɯ t͡sʰai,t͡ɕyã ɕiə pɨ t͡sʰɛ
ɕi xuŋ ʂɻ̩,fan t͡ɕʰie,mao la ko,fɤ̃ dʑiɑ,ʂɻ̩ t͡sɹ̩,iɑ̃ sɹ̩ t͡sə,fÃ t͡ɕʰiɛ,iɑ̃ ʂɻ̩ t͡sɹ̩,fan kʰio e,fan t͡ɕʰiɑ,iɑŋ sɹ̩ t͡sʌʔ,fe ga,huaŋ kio,tʰa bã to,ɕi fæ̃ sɹ̩,xuo sɹ̩ t͡sə,fa ga,fan t͡ɕʰie,iɑŋ sɹ̩ t͡sɹ̩,iaŋ sɹ̩ t͡sɹ̩,fan kʰɛ,si ɦən sɹ̩,iɔ̃ sɹ̩ t͡sɹ̩
t͡ɕʰiɛ t͡sɹ̩,t͡ɕʰie t͡sɹ̩,t͡ɕʰiɛ t͡sɹ̩,dʑi əl,t͡ɕʰiɛ t͡sɹ̩,t͡ɕʰye t͡sə,t͡ɕʰiɛ t͡sɹ̩,t͡ɕʰiə t͡sɹ̩,tiau t͡sʰoi ie,t͡ɕʰiɑ t͡sɹ̩,t͡ɕiɤ t͡sʌʔ,loʔ su,kio,kio,t͡ɕʰie t͡səʔ,t͡ɕʰie t͡sə,dzɹ̩ ŋ̩,t͡ɕʰie t͡sɹ̩,t͡ɕʰiɤ t͡sɹ̩,t͡ɕʰiɛ t͡sɹ̩,ɐi kwa,dʑyɒ t͡sɹ̩,t͡ɕʰi t͡sɹ̩
pai ʂu,xoŋ sau,fan su,fɤ̃ dzɥ,ti kua,zɥ tʰɯ,pə tʂʰu,xũn ʂɔ,fan su,lo pʰo ɕy,xuŋ sɥ,se ɦy,huaŋ t͡sɯ,han t͡si,xuəŋ su,san y,fa zei,sau,xuŋ fu,xuŋ ʂau,fan sy,t͡ɕio pan ɕy,xuə̃ fv̩
tʰu tour,iaŋ y,iaŋ i,ɦiɑŋ fɤ̃ dzɥ,tʰu tour,ma lin tʂʰu,iÃ i,iɑ̃ y,ma laŋ su,iɔŋ y tʰɛu,sɑŋ iʌʔ tɑŋ,ɦiã se ɦy,ho laŋ t͡sɯ,bã liŋ t͡si,sæ̃ iəʔ tæ̃,tʰu tour,fa naŋ vu,tʰəu təu,iɑŋ y,iaŋ y,sy t͡sɐi,ian y dəɯ,iɔ̃ y
nan kuə,nan kua,lan kua,nɤ̃ kuɑ,uo kua,læ̃ kua,mə kuA,lɛ̃n kua,tuŋ kua,pɛʔ kuɑ,nɑŋ kuɑ,ve ko,huŋ kue,kim kue,næ̃ kua,uo kuɑ,t͡ɕaŋ ko,nan kua,xu lu,uo kua,nam kwa,nan kuɒ,nã kua
tʂu,t͡su,t͡su,t͡sɥ,tʂu,tʂu,tʂu,pfu,t͡su ve,t͡ɕy,t͡sɥ ʐʌʔ,t͡sɹ̩ lu,tɯ,ti,t͡su,tʂu,t͡sei,t͡ɕy,tʂu,pfu,t͡sy,t͡ɕy,tʂv̩
kuŋ tʂu,t͡ɕyo t͡su,ia t͡su,koŋ t͡sɥ,pʰau lan t͡sɹ̩,kəŋ tʂu,iA tʂu,ia pfu,t͡su ko,t͡ɕy ku li,ɲiɑ ʐʌʔ,t͡sɹ̩ lɑ̃,tɯ ko,ti kaŋ,kuəŋ t͡su,kuŋ tʂu,joŋ ke t͡sei,koŋ t͡ɕy,kuŋ tʂu,ia pfu,t͡sy kuŋ,t͡ɕio t͡ɕy t͡sɹ̩,ia tʂv̩
mu tʂu,mu t͡su,t͡sʰao t͡su,mu t͡sɥ,mu tʂu,məŋ tʂu,mu tʂu,mu pfu,t͡su ma,t͡ɕy pʰo,mu ʐʌʔ,lɔ m̩ t͡sɹ̩,tɯ bo,ti bu,mu t͡su,mu tʂu,t͡sʰɜ ke t͡sei,moŋ t͡ɕy,mu tʂu,mu pfu,t͡sy na,t͡ɕy bo t͡sɹ̩,mv̩ tʂv̩
kuŋ t͡ɕi,t͡ɕi koŋ,koŋ t͡ɕi,ɦioŋ t͡ɕi,kuŋ t͡ɕi,kəŋ t͡sɹ̩,koŋ t͡ɕi,kũn t͡ɕi,ke kuŋ,t͡ɕi kuŋ,kuŋ t͡ɕi,ɦioŋ t͡ɕi,koi aŋ,ke kaŋ,kuəŋ t͡ɕi,kuŋ t͡ɕi,joŋ t͡sɹ̩,t͡ɕi koŋ,kuŋ t͡ɕi,kuŋ t͡ɕi,kɐi kuŋ,t͡ɕiaɯ t͡ɕi,kuə̃ t͡ɕj
mu t͡ɕi,t͡ɕi pʰo,t͡sɹ̩ t͡ɕi,bo t͡ɕi,mu t͡ɕi,məŋ t͡sɹ̩,mu t͡ɕi,mu t͡ɕi,ke ma,t͡ɕi pʰo,t͡sʰɔ t͡ɕi,t͡sʰɹ̩ t͡ɕi,koi bo,ke bu,t͡sʰau t͡ɕi,mu t͡ɕi,t͡sʰɜ t͡sɹ̩,t͡ɕi moŋ,mu t͡ɕi,mu t͡ɕi,kɐi na,t͡ɕi bo,mv̩ t͡ɕj
t͡ɕia t͡ɕʰiɑur,ma t͡ɕʰyər,ma t͡ɕʰio,mɑ t͡ɕʰiɔ əl,t͡ɕia t͡ɕʰiaur,ma t͡ɕʰiɯ,ku t͡ɕʰio,ma t͡ɕʰiɔ ɯ,vo pit le,kan t͡ɕʰiɔʔ t͡sɹ̩,t͡ɕʰiɔ ʐʌʔ,mo t͡ɕʰiaʔ,muã t͡siauʔ,t͡sʰiʔ t͡siau a,t͡ɕʰyar,t͡ɕiɑ t͡ɕʰiɑur,t͡ɕi ŋ̩,ma t͡ɕʰio,ma t͡ɕʰyɤ t͡sɹ̩,t͡ɕʰiaur,ma t͡sœk,mɒ t͡sʰio t͡sɹ̩,t͡ɕʰiɔ ɛ
xɑu t͡sɹ̩,xau t͡sɹ̩,xao t͡sɹ̩,lɔ t͡sʰɥ,xau t͡sɹ̩,lɔ tʂʰuə,lɔ tʂʰu,lɔ pfʰu t͡sɹ̩,lau t͡sʰu ve,lau ɕy,ku ʐʌʔ,lɔ zoŋ,ŋiãu t͡sʰɯ,liau t͡sʰi,ku ər,lɑu ʂu,lɜ t͡sʰei,nau ɕy,lɔ tʂʰu,lau fu,lou sy,naɯ ɕy t͡sɹ̩,lɔ fv̩
tʂʰou tʂʰuŋ,t͡sʰəu t͡soŋ,t͡sʰəu t͡sʰoŋ,t͡sʰei dzoŋ,tʂʰou tʂʰuŋ,tʂʰɯ tʂʰəŋ,pi sə,pi ʂə,kon pʰi,t͡sʰɨu t͡sʰuŋ,piʌʔ ʂʌʔ,t͡sʰɤ zoŋ,bak sak,baʔ sat,piəʔ səʔ,tʂʰou t͡sʰuŋ,kuɔ sai,t͡sʰəu t͡sʰoŋ,tʂʰɤu sei,tʂʰou sei,muk sɐt,tʂʰəɯ dʐən,tʂʰɯ sɨ
fɑŋ t͡sɹ̩,faŋ t͡sɹ̩,faŋ t͡sɹ̩,vɑŋ t͡sɹ̩,faŋ t͡sɹ̩,t͡sɐʔ t͡sə,fÃ t͡sɹ̩,fɑ̃ t͡sɹ̩,vuk e,uʔ,xuə t͡sʌʔ,vɑ̃ t͡sɹ̩,t͡sʰu,t͡sʰu,fɒ̃ t͡səʔ,fɑŋ t͡sɹ̩,vu duɔ,faŋ t͡sɹ̩,fɑŋ t͡sɹ̩,faŋ,uk,u,fɔ̃ t͡sɹ̩
u t͡sɹ̩,u t͡sɹ̩,faŋ kan,vɑŋ t͡ɕiɤ̃,u t͡sɹ̩,fɑ̃ t͡ɕɪ̃,fÃ t͡ɕiɛ̃,fɑ̃ t͡sɹ̩,kian ne,fɔŋ,xuə t͡sʌʔ,vɑ̃ ke,paŋ,paŋ kiŋ,t͡ɕia,u t͡sɹ̩,ɦuɔ ka,faŋ kan,fɑŋ t͡sɹ̩,faŋ t͡sɹ̩,fɔŋ kan,ɸɔn kan,tʰɔ t͡ɕiã
tʂʰuɑŋ xu,t͡sʰuaŋ t͡sɹ̩,t͡sʰuaŋ t͡sɹ̩,t͡sʰɥɑŋ men,tʂʰuaŋ xu,tʂʰuɑ̃ t͡sə,tʂʰuÃ xoŋ,pfʰɑ̃ t͡sɹ̩,t͡sʰuŋ ŋe,t͡sʰɔŋ t͡sɹ̩,suə t͡sʌʔ,t͡sʰɑ̃ məŋ,tʰeŋ,tʰaŋ a,t͡sʰuɒ̃ xu,t͡sʰuɑŋ xu,t͡ɕʰyɔ,t͡sʰuaŋ t͡sɹ̩,tʂʰuɑŋ xu,pfʰaŋ t͡sɹ̩,t͡sʰœŋ,tʂʰɔn t͡sɹ̩,tʂʰuɔ̃ t͡sɹ̩
mən kʰar,mən kʰan,men kʰan,men kʰɤ̃,mən kʰar,mən kʰæ̃,mə̃ kʰÃ,mə̃n kʰɛ̃n,mum ton,mɨn kan,məŋ ɕiɤ ɕiɤ,məŋ kʰe,muŋ tõi,ho tiŋ,məŋ ɕie ɕie,mən kʰar,maŋ kʰa,mən kʰan,mɤŋ kʰan,mẽ kʰã,mun hɐm,mən kʰan,mə̃ kʰã
t͡sʰɤ suo,mau faŋ,t͡sʰɛ so,mɔ kʰɑŋ,mau lour,mɔ t͡sʰɹ̩,mɔ sɹ̩,mɔ sɹ̩,sɹ̩ kau,mɑu kɔŋ,mɔ t͡sʌʔ,mo doŋ ke,t͡sʰe so,pien so,mau fɒ̃,mɑu sou,muɔ kʰiɛ,mau sɹ̩,mɔ fɑŋ,mau t͡sɹ̩,t͡sʰi sɔ,maɯ sɹ̩ u,mɔ sɹ̩
tʂʰu fɑŋ,t͡sʰu faŋ,t͡sʰu faŋ,dzɥ vɑŋ,tʂʰu faŋ,kʊ t͡ɕiɪ̃,t͡sɔ fÃ,pfʰu fɑ̃,t͡sʰu foŋ ha,t͡ɕʰy fɔŋ,t͡sɥ xuə,t͡sɔ pʰi ke,tou paŋ,tu paŋ,t͡sʰu fɒ̃,tʂʰu fɑŋ,ɦo t͡sɜ ka,t͡sʰy faŋ,tʂʰu fɑŋ,pfʰu faŋ,t͡sʰøy fɔŋ,t͡saɯ u,tʂʰv̩ fɔ̃
ian tʰuŋ,ian t͡sʰoŋ,ian t͡sʰoŋ,ʔiɤ̃ t͡sʰoŋ,ian tʰuŋ,iɪ̃ ləŋ,iɛ̃ t͡sʰoŋ,iɛ̃n tʰũn,ian ham,iɛn tʰuŋ,iɤ tʰuʌʔ,i t͡sʰoŋ,iŋ taŋ,ien taŋ,ie tuəŋ,ian tʰuŋ,ji t͡ɕʰoŋ,iɛn tʰoŋ,ian tʰuŋ,iã tʰuŋ,jin tʰuŋ,iẽ dən,iã tuə̃
tʂuo t͡sɹ̩,t͡so t͡sɹ̩,t͡so t͡sɹ̩,t͡soʔ t͡sɹ̩,tʂuo t͡sɹ̩,tʂuɐʔ t͡sə,tʂo t͡sɹ̩,pfə t͡sɹ̩,t͡sok e,t͡sɔʔ t͡sɹ̩,t͡suʌʔ t͡sʌʔ,de t͡sɹ̩,t͡sʰɯŋ,toʔ a,t͡suaʔ t͡səʔ,t͡suo t͡sɹ̩,t͡ɕo,t͡suo t͡sɹ̩,tʂuɤ t͡sɹ̩,pfo t͡sɹ̩,tʰɔi,t͡so t͡sɹ̩,tʂu t͡sɹ̩
lou tʰi,nəu tʰi,ləu tʰi,ɦu tʰi,lou tʰi,lɯ t͡sʰɹ̩,ləu tʰi,lou xu tʰi,tʰoi pʰai,lɛu tʰi,ləu tʰi,ɦu tʰi,lau tʰui,lau tʰui,ləu tʰi,lou tʰiər,t͡ɕolau tʰei,nəu tʰi,lɤu tʰi,lou tʰi,lɐu tʰɐi,nəɯ tʰi,lv̩t͡sʰɹ̩
nɑu tai,tʰəu,lao kʰo,dei,tʰou,tʰɯ,nɔ kʰo,tʰou,tʰeu,tʰɛu,tʌʔ lɔ,dɤ,tʰau,tʰau,təʔ nau,nɑu tai,dɤu,tʰəu,tʰɤu,tʰou,tʰɐu,naɯ kʰo,tʰɯ
nɑu mər,ŋe nəu,ŋɛ ləu,ŋɑʔ koʔ dei,pər lou,ʐɐʔ lɔ tʰɯ,nɔ mə̃,pə̃n lu,ŋiak,lɑu kuɑ,pəŋ təu,ŋaʔ koʔ dɤ,hiaʔ,hiaʔ tʰau,pəŋ ləu,ie liŋ kar,ŋa dɤu,ŋɤ tʰəu,pɤŋ lɤu,ŋei lou,ŋak tʰɐu,naɯ mən,nə̃ mv̩ tʰɯ
lian,nian,lian,liɤ̃ kʰoŋ,lian,liɪ̃,liɛ̃,liɛ̃n pʰɛ̃n t͡sɹ̩,mien,liɛn,liɤ,mi kʰoŋ,miŋ,bin,mi nie,lian,mi,niɛn,lian,liã,min,niẽ kuai,liã
pi t͡sɹ̩,pi t͡sɹ̩,pi t͡sɹ̩,bɑʔ dei,pi t͡sɹ̩,piəʔ t͡sə,pi t͡sɹ̩,pi kə ta,pʰi kuŋ,pʰiʔ kuŋ,piʌʔ t͡sʌʔ,biɪʔ dɤ,pʰĩ,pʰĩ,piəʔ t͡səʔ,pi t͡sɹ̩,bei dɤu,pi t͡sɹ̩,pi t͡sɹ̩,pi t͡sɹ̩,pei kɔ,pʰi dən,pj t͡sɹ̩
