beijing,chengdu,guiyang,hangzhou,harbin,hefei,kunming,lanzhou,meixian,nanchang,pingyao,shanghai,shantou,taibei,taiyuan,tianjin,wenzhou,wuhan,wulumuqi,xian,xianggang,xiangtan,xining
tʂˈuɑŋ xu,tsˈuaŋ tsɿ,tsˈuaŋ tsɿ,tsˈɥɑŋ men,tʂˈuaŋ xu,tʂˈuɑ̃ tsə,tʂˈuÃ xoŋ,pfˈɑ̃ tsɿ,tsˈuŋ ŋe,tsˈɔŋ tsɿ,suə tsʌʔ,tsˈɑ̃ məŋ,tˈeŋ,tˈaŋ a,tsˈuɒ̃ xu,tsˈuɑŋ xu,tɕˈyɔ,tsˈuaŋ tsɿ,tʂˈuɑŋ xu,pfˈaŋ tsɿ,tsˈœŋ,tʂˈɔn tsɿ,tʂˈuɔ̃ tsɿ
mən kˈar,mən kˈan,men kˈan,men kˈẼ,mən kˈar,mən kˈæ̃,mə̃ kˈÃ,mə̃n kˈɛ̃n,mum ton,mɨn kan,məŋ ɕiE ɕiE,məŋ kˈe,muŋ tõi,ho tiŋ,məŋ ɕie ɕie,mən kˈar,maŋ kˈa,mən kˈan,mɤŋ kˈan,mẽ kˈã,mun hɐm,mən kˈan,mə̃ kˈã
tsˈɤ suo,mau faŋ,tsˈɛ so,mɔ kˈɑŋ,mau lour,mɔ tsˈɿ,mɔ sɿ,mɔ sɿ,sɿ kau,mɑu kɔŋ,mɔ tsʌʔ,mo doŋ ke,tsˈe so,pien so,mau fɒ̃,mɑu sou,muɔ kˈiɛ,mau sɿ,mɔ fɑŋ,mau tsɿ,tsˈi sɔ,maɯ sɿ u,mɔ sɿ
tʂˈu fɑŋ,tsˈu faŋ,tsˈu faŋ,dzɥ vɑŋ,tʂˈu faŋ,kʊ tɕiɪ̃,tsɔ fÃ,pfˈu fɑ̃,tsˈu foŋ ha,tɕˈy fɔŋ,tsɥ xuə,tsɔ pˈi ke,tou paŋ,tu paŋ,tsˈu fɒ̃,tʂˈu fɑŋ,ɦo tsɜ ka,tsˈy faŋ,tʂˈu fɑŋ,pfˈu faŋ,tsˈøy fɔŋ,tsaɯ u,tʂˈv̩ fɔ̃
ian tˈuŋ,ian tsˈoŋ,ian tsˈoŋ,ʔiẼ tsˈoŋ,ian tˈuŋ,iɪ̃ ləŋ,iɛ̃ tsˈoŋ,iɛ̃n tˈũn,ian ham,iɛn tˈuŋ,iE tˈuʌʔ,i tsˈoŋ,iŋ taŋ,ien taŋ,ie tuəŋ,ian tˈuŋ,ji tɕˈoŋ,iɛn tˈoŋ,ian tˈuŋ,iã tˈuŋ,jin tˈuŋ,iẽ dən,iã tuə̃
tʂuo tsɿ,tso tsɿ,tso tsɿ,tsoʔ tsɿ,tʂuo tsɿ,tʂuɐʔ tsə,tʂo tsɿ,pfə tsɿ,tsok e,tsɔʔ tsɿ,tsuʌʔ tsʌʔ,de tsɿ,tsˈɯŋ,toʔ a,tsuaʔ tsəʔ,tsuo tsɿ,tɕo,tsuo tsɿ,tʂuɤ tsɿ,pfo tsɿ,tˈɔi,tso tsɿ,tʂu tsɿ
lou tˈi,nəu tˈi,ləu tˈi,ɦu tˈi,lou tˈi,lɯ tsˈɿ,ləu tˈi,lou xu tˈi,tˈoi pˈai,lɛu tˈi,ləu tˈi,ɦu tˈi,lau tˈui,lau tˈui,ləu tˈi,lou tˈiər,tɕolau tˈei,nəu tˈi,lɤu tˈi,lou tˈi,lɐu tˈɐi,nəɯ tˈi,lv̩tsˈɿ
nɑu tai,tˈəu,lao kˈo,dei,tˈou,tˈɯ,nɔ kˈo,tˈou,tˈeu,tˈɛu,tʌʔ lɔ,dɤ,tˈau,tˈau,təʔ nau,nɑu tai,dɤu,tˈəu,tˈɤu,tˈou,tˈɐu,naɯ kˈo,tˈɯ
nɑu mər,ŋe nəu,ŋɛ ləu,ŋɑʔ koʔ dei,pər lou,ʐɐʔ lɔ tˈɯ,nɔ mə̃,pə̃n lu,ŋiak,lɑu kuɑ,pəŋ təu,ŋaʔ koʔ dɤ,hiaʔ,hiaʔ tˈau,pəŋ ləu,ie liŋ kar,ŋa dɤu,ŋɤ tˈəu,pɤŋ lɤu,ŋei lou,ŋak tˈɐu,naɯ mən,nə̃ mv̩ tˈɯ
lian,nian,lian,liẼ kˈoŋ,lian,liɪ̃,liɛ̃,liɛ̃n pˈɛ̃n tsɿ,mien,liɛn,liE,mi kˈoŋ,miŋ,bin,mi nie,lian,mi,niɛn,lian,liã,min,niẽ kuai,liã
pi tsɿ,pi tsɿ,pi tsɿ,bɑʔ dei,pi tsɿ,piəʔ tsə,pi tsɿ,pi kə ta,pˈi kuŋ,pˈiʔ kuŋ,piʌʔ tsʌʔ,biɪʔ dɤ,pˈĩ,pˈĩ,piəʔ tsəʔ,pi tsɿ,bei dɤu,pi tsɿ,pi tsɿ,pi tsɿ,pei kɔ,pˈi dən,pj tsɿ
