beijing,chengdu,guiyang,hangzhou,harbin,hefei,kunming,lanzhou,meixian,pingyao,shanghai,shantou,taibei,taiyuan,tianjin,wenzhou,wuhan,wulumuqi,xian,xianggang,xiangtan,xining
iɑŋpait͡sʰai,t͡ɕyanɕinpe,koɕinpɛ,pɔɕint͡sʰɤ,tatʰout͡sʰai,pɔtʰɯt͡sʰɤ,liɛ̃xuApə,liɛ̃nxuat͡sʰɛ,paut͡sʰoi,xuæt͡sʌʔpæ,t͡ɕyøɕiŋt͡sʰe,kole,kŋ̩simt͡sʰai,xueit͡səʔpai,iɑŋpait͡sʰai,dʑaut͡sʰe,t͡ɕyɛnɕint͡sʰai,lianxuapei,liãxuapei,jɛt͡sʰɔi,paɯt͡sʰai,t͡ɕyãɕiəpɨt͡sʰɛ
ɕixuŋʂɻ̩,fant͡ɕʰie,maolako,fɤ̃dʑiɑ,ʂɻ̩t͡sɹ̩,iɑ̃sɹ̩t͡sə,fÃt͡ɕʰiɛ,iɑ̃ʂɻ̩t͡sɹ̩,fankʰioe,iɑŋsɹ̩t͡sʌʔ,fega,huaŋkio,tʰabãto,ɕifæ̃sɹ̩,xuosɹ̩t͡sə,faga,fant͡ɕʰie,iɑŋsɹ̩t͡sɹ̩,iaŋsɹ̩t͡sɹ̩,fankʰɛ,siɦənsɹ̩,iɔ̃sɹ̩t͡sɹ̩
t͡ɕʰiɛt͡sɹ̩,t͡ɕʰiet͡sɹ̩,t͡ɕʰiɛt͡sɹ̩,dʑiəl,t͡ɕʰiɛt͡sɹ̩,t͡ɕʰyet͡sə,t͡ɕʰiɛt͡sɹ̩,t͡ɕʰiət͡sɹ̩,tiaut͡sʰoiie,t͡ɕiɤt͡sʌʔ,loʔsu,kio,kio,t͡ɕʰiet͡səʔ,t͡ɕʰiet͡sə,dzɹ̩ŋ̩,t͡ɕʰiet͡sɹ̩,t͡ɕʰiɤt͡sɹ̩,t͡ɕʰiɛt͡sɹ̩,ɐikwa,dʑyɒt͡sɹ̩,t͡ɕʰit͡sɹ̩
paiʂu,xoŋsau,fansu,fɤ̃dzɥ,tikua,zɥtʰɯ,pətʂʰu,xũnʂɔ,fansu,xuŋsɥ,seɦy,huaŋt͡sɯ,hant͡si,xuəŋsu,sany,fazei,sau,xuŋfu,xuŋʂau,fansy,t͡ɕiopanɕy,xuə̃fv̩
tʰutour,iaŋy,iaŋi,ɦiɑŋfɤ̃dzɥ,tʰutour,malintʂʰu,iÃi,iɑ̃y,malaŋsu,sɑŋiʌʔtɑŋ,ɦiãseɦy,holaŋt͡sɯ,bãliŋt͡si,sæ̃iəʔtæ̃,tʰutour,fanaŋvu,tʰəutəu,iɑŋy,iaŋy,syt͡sɐi,ianydəɯ,iɔ̃y
nankuə,nankua,lankua,nɤ̃kuɑ,uokua,læ̃kua,məkuA,lɛ̃nkua,tuŋkua,nɑŋkuɑ,veko,huŋkue,kimkue,næ̃kua,uokuɑ,t͡ɕaŋko,nankua,xulu,uokua,namkwa,nankuɒ,nãkua
tʂu,t͡su,t͡su,t͡sɥ,tʂu,tʂu,tʂu,pfu,t͡suve,t͡sɥʐʌʔ,t͡sɹ̩lu,tɯ,ti,t͡su,tʂu,t͡sei,t͡ɕy,tʂu,pfu,t͡sy,t͡ɕy,tʂv̩
kuŋtʂu,t͡ɕyot͡su,iat͡su,koŋt͡sɥ,pʰaulant͡sɹ̩,kəŋtʂu,iAtʂu,iapfu,t͡suko,ɲiɑʐʌʔ,t͡sɹ̩lɑ̃,tɯko,tikaŋ,kuəŋt͡su,kuŋtʂu,joŋket͡sei,koŋt͡ɕy,kuŋtʂu,iapfu,t͡sykuŋ,t͡ɕiot͡ɕyt͡sɹ̩,iatʂv̩
mutʂu,mut͡su,t͡sʰaot͡su,mut͡sɥ,mutʂu,məŋtʂu,mutʂu,mupfu,t͡suma,muʐʌʔ,lɔm̩t͡sɹ̩,tɯbo,tibu,mut͡su,mutʂu,t͡sʰɜket͡sei,moŋt͡ɕy,mutʂu,mupfu,t͡syna,t͡ɕybot͡sɹ̩,mv̩tʂv̩
kuŋt͡ɕi,t͡ɕikoŋ,koŋt͡ɕi,ɦioŋt͡ɕi,kuŋt͡ɕi,kəŋt͡sɹ̩,koŋt͡ɕi,kũnt͡ɕi,kekuŋ,kuŋt͡ɕi,ɦioŋt͡ɕi,koiaŋ,kekaŋ,kuəŋt͡ɕi,kuŋt͡ɕi,joŋt͡sɹ̩,t͡ɕikoŋ,kuŋt͡ɕi,kuŋt͡ɕi,kɐikuŋ,t͡ɕiaɯt͡ɕi,kuə̃t͡ɕj
