beijing,chengdu,guiyang,hangzhou,harbin,hefei,kunming,lanzhou,meixian,nanchang,pingyao,shanghai,shantou,taibei,taiyuan,tianjin,wenzhou,wuhan,wulumuqi,xian,xianggang,xiangtan,xining
kʰuait͡sɹ̩,kʰuait͡sɹ̩,kʰuait͡sɹ̩,kʰuɤəl,kʰuait͡sɹ̩,kʰiɤt͡sə,kʰuə,kʰuɛt͡sɹ̩,kʰuaiie,kʰuait͡sɹ̩,kʰuæt͡sʌʔ,kue,tɯ,ti,kʰuait͡səʔ,kʰuait͡sə,dzei,kʰuait͡sɹ̩,kʰuait͡sɹ̩,kʰuait͡sɹ̩,fait͡si,kʰuait͡sɹ̩,kʰuɛt͡sɹ̩
ʂɑut͡sɹ̩,pʰiaukər,pʰiaoə˞,zoʔəl,ʂaut͡sɹ̩,ʂuɐʔt͡sə,tʰiɔkə̃,fət͡sɹ̩,soke,sɔʔt͡sɹ̩,sɹ̩sɹ̩,zoʔt͡sɹ̩,tʰɯŋsi,tʰŋ̩si,tʰiaukəŋ,ʂɑur,tʰiɛŋ̩,suot͡sɹ̩,fɤfɤt͡sɹ̩,fofor,t͡sʰikɐŋ,diaɯkən,fɔfɔ
iɛmər,nanzən,lanlɛ,nɤ̃zent͡ɕiɑ,nanʐən,læ̃tiəʔ,nÃnə,lɛnʐə̃n,nammeŋin,lanko,xɑŋ,nøɲiŋ,tapou,tapɔ,næ̃təʔ,nanʐən,nøt͡sɹ̩kʰa,nannən,nanʐɤŋ,nãʐẽ,namjɐn,naninkɒ,nãʐə̃
nyʐən,ɲyzən,lilɛ,nɥzent͡ɕiɑ,nyʐən,zɥtiəʔ,ninə,ɲyʐə̃n,fuŋinka,ɲyko,peiiməŋ,ɲyɲiŋ,t͡sɯniõ,t͡sabɔ,nytəʔ,nyʐən,lɜɲaŋkʰa,nynən,ɲyʐɤŋ,nyʐẽ,nøyjɐn,ɲyinkɒ,mjʐə̃
nanxar,nanuat͡sɹ̩,lanuaua,nɤ̃ɦiɑəl,ɕiaut͡sɹ̩,ɕiɔsɹ̩,nÃuAuA,ɯvat͡sɹ̩,seakoe,lant͡sait͡sɹ̩,ɕiɔt͡sʌʔ,nøɕiɔnø,tapoukiã,tapɔgĩna,næ̃vava,ɕiɑut͡sə,nøŋ̩,nanxai,ə˞vat͡sɹ̩,uat͡sɹ̩,namt͡sɐi,ŋɒdʑi,kaua
nyxar,ɲyuat͡sɹ̩,liuaua,nɥɦiɑəl,iatʰou,iatʰɯ,niuAuA,ɲyt͡sɹ̩,semoiie,ɲyt͡sait͡sɹ̩,nzɥt͡sʌʔ,ɲyɕiɔnø,t͡sɯniõkiã,t͡sabɔgĩna,nyvava,kuənny,naŋ̩,nyxai,iatʰɤu,nyt͡sɹ̩,nøyt͡sɐi,məidʑi,mjt͡sɹ̩
lɑutʰour,nautʰər,laot͡sei,lɔdeiəl,lautʰour,lɔtʰɯt͡sə,lɔkuÃə,lɔxɛ̃n,lauapak,lɑutʰɛut͡sɹ̩,lɔxɑŋ,lɔkoŋkoŋ,lautapou,lautualaŋ,lauxæ̃xæ̃,lɑutʰour,lɜlɜ,nautietie,lɔxan,lauxã,loujɐnka,naɯkɔnt͡sɹ̩,lɔxã
iʂəŋ,isən,isen,ʔisen,taifu,zɹ̩sən,isə̃,ɕiɛ̃nʂə̃n,isen,isɛn,isəŋ,isã,uiseŋ,isiŋ,ɕiesəŋ,taifu,jisiɛ,isən,taifu,taifu,jisɐŋ,isən,ɕiãsə̃
taʂɻ̩fu,t͡sʰusɹ̩,t͡sʰut͡sɹ̩,dzɥvɑŋsɹ̩vu,taʂɻ̩fu,tʂʰut͡sə,tʂʰusɹ̩,pfʰut͡sɹ̩,t͡sʰusɹ̩,tʰaisɹ̩fu,t͡suʌʔxuɑŋtiʌʔ,zɹ̩sɹ̩,tousɯ,t͡soŋpʰosaihu,t͡sʰut͡səʔ,t͡sʰut͡sə,dzɹ̩ɦuɔlɜsɹ̩,tasɹ̩fu,tʂʰut͡sɹ̩,pfʰut͡sɹ̩,t͡sysi,dʑysɹ̩,tasɹ̩fv̩
iɑufantə,t͡ɕiauxuat͡sɹ̩,t͡ɕiaoxuat͡sɹ̩,t͡ɕiɔhuɑt͡sɹ̩,iaufanti,t͡ɕiɔxuat͡sə,xuAt͡sɹ̩,iɔtʂətʂʰɻ̩ti,kaufave,kɑufɑt͡sɹ̩,t͡ɕiɔxuɑt͡sʌʔ,køhot͡sɹ̩,kʰɯkt͡siaʔ,kʰitt͡siaʔ,t͡ɕiauxuat͡səʔ,iɑufanti,kʰøŋ̩,t͡ɕʰikai,iɔfanti,xãʐər,hɐtji,kaɯɸɒt͡sɹ̩,ɕiə̃kʰɯ
pɑumu,paumu,paomu,pɔmu,laumat͡sɹ̩,pɑ̃kəŋtiəʔ,pɔmu,t͡suxuəti,paume,t͡ɕiɲiɔŋ,liɔxeiʐʌʔtiʌʔ,ɲiãɦi,pom,linbu,paumu,naimɑt͡sə,amo,paumoŋ,lɔmat͡sɹ̩,yŋʐẽ,kuŋjɐn,paɯmo,pɔmv̩
piŋlə,pinno,senpinəu,senbintə,piŋlə,pəʔxɔkʊ,pĩlə,pĩnxalɔ,potpʰiaŋ,pʰiɑŋliɛu,pʌʔtʌʔʂəu,sãbiŋ,naŋmõ,pʰuapĩ,pilie,piŋlə,siɛbeŋ,pinniau,piŋliɤ,piŋliɛ,pɛŋt͡sɔ,tʂobian,piəliɔ
ʂɑŋfəŋ,saŋfoŋ,liaŋtao,sɥɑŋfoŋ,ʂaŋfəŋ,ʂɑ̃fəŋ,ʂÃfoŋ,liɑ̃pfəlɔ,soŋfuŋ,sɔŋfuŋ,pʰiʌʔt͡suʌʔliɑ,sɑ̃foŋ,kuãtioʔ,sioŋhoŋ,pʰiəʔt͡sulie,ʂɑŋfəŋ,ɕihoŋ,saŋfoŋ,ʂɑŋfɤŋ,liaŋpfoliɛ,sœŋfuŋ,niantɒ,liɔ̃tʂʰuliɔ
